ℝ³→ℝ,3520,1,,false
X (nm),Y (nm),Z (nm),n (# electrons)
0.0,-3.0000000000000004e-9,7.1e-11,0.7853516058750525
0.0,-3.0000000000000004e-9,-7.1e-11,0.4122612811840779
1.2300000000000001e-10,-2.9974214258379065e-9,-1.4319844946036903e-10,0.6187778639425013
1.2300000000000001e-10,-2.9872912618236158e-9,-2.8483664973502503e-10,0.11983088341407122
0.0,-2.9795686791602014e-9,-3.566671924463093e-10,0.3624879695949549
0.0,-2.959359972125395e-9,-4.972218371934017e-10,0.3259293645805922
1.2300000000000001e-10,-2.94653273347174e-9,-5.683184411749776e-10,0.7916761187228755
1.2300000000000001e-10,-2.9163484623552176e-9,-7.070732961428824e-10,0.9584476938130971
0.0,-2.898481932379234e-9,-7.770736693976598e-10,0.6599201332453097
0.0,-2.858475909307751e-9,-9.133216716509184e-10,0.24568890509947972
1.2300000000000001e-10,-2.8356611317508216e-9,-9.81869108322312e-10,0.5738118349368654
1.2300000000000001e-10,-2.7860372182477494e-9,-1.1149159692722783e-9,0.5392998581904015
0.0,-2.7583904519866895e-9,-1.1816611673354886e-9,0.1634785197524956
0.0,-2.6994015201404215e-9,-1.3108289106758302e-9,0.2571679464103366
1.2300000000000001e-10,-2.6670636467588913e-9,-1.3754317519008956e-9,0.35528319291675414
1.2300000000000001e-10,-2.599010290644643e-9,-1.5000621684194459e-9,0.539995845973541
0.0,-2.5621460965328914e-9,-1.5621934515357791e-9,0.6823895743185067
0.0,-2.4853751004541962e-9,-1.6816514531978068e-9,0.08372043820905828
1.2300000000000001e-10,-2.444172437095387e-9,-1.7409945714284111e-9,0.5503671772156729
1.2300000000000001e-10,-2.359075008450776e-9,-1.8546714276396704e-9,0.07105348013803137
0.0,-2.3137438351728904e-9,-1.9109239820567033e-9,0.17159540056147082
0.0,-2.22075361095266e-9,-2.0182404216150078e-9,0.4987416099602562
1.2300000000000001e-10,-2.171524925023888e-9,-2.071115762095398e-9,0.7535333540966939
1.2300000000000001e-10,-2.0711157620953985e-9,-2.1715249250238876e-9,0.38662268006008094
0.0,-2.0182404216150078e-9,-2.22075361095266e-9,0.5640434080067069
0.0,-1.9109239820567033e-9,-2.3137438351728904e-9,0.3707252958088153
1.2300000000000001e-10,-1.8546714276396707e-9,-2.359075008450776e-9,0.6828323206177224
1.2300000000000001e-10,-1.7409945714284114e-9,-2.444172437095387e-9,0.5283467945617882
0.0,-1.681651453197807e-9,-2.4853751004541962e-9,0.635434004607759
0.0,-1.5621934515357793e-9,-2.5621460965328914e-9,0.6903755601393808
1.2300000000000001e-10,-1.5000621684194463e-9,-2.599010290644643e-9,0.5319935744074922
1.2300000000000001e-10,-1.375431751900896e-9,-2.6670636467588913e-9,0.6835299291480379
0.0,-1.3108289106758304e-9,-2.6994015201404215e-9,0.2836965337589321
0.0,-1.1816611673354888e-9,-2.7583904519866895e-9,0.9764196695333227
1.2300000000000001e-10,-1.1149159692722785e-9,-2.7860372182477494e-9,0.977423860821619
1.2300000000000001e-10,-9.818691083223123e-10,-2.8356611317508216e-9,0.9920620361880745
0.0,-9.133216716509188e-10,-2.858475909307751e-9,0.4797724118874085
0.0,-7.770736693976602e-10,-2.898481932379234e-9,0.8371398498666248
1.2300000000000001e-10,-7.070732961428828e-10,-2.9163484623552176e-9,0.8654479796948524
1.2300000000000001e-10,-5.683184411749783e-10,-2.94653273347174e-9,0.35401146137959694
0.0,-4.972218371934016e-10,-2.959359972125395e-9,0.6837328395098444
0.0,-3.566671924463092e-10,-2.9795686791602014e-9,0.6749462003825146
1.2300000000000001e-10,-2.848366497350251e-10,-2.9872912618236158e-9,0.604960934118556
1.2300000000000001e-10,-1.4319844946036909e-10,-2.9974214258379065e-9,0.37568065364673187
0.0,-7.100000000000085e-11,-3.0000000000000004e-9,0.894922200212564
0.0,7.099999999999915e-11,-3.0000000000000004e-9,0.13901116506312738
1.2300000000000001e-10,1.4319844946036875e-10,-2.9974214258379065e-9,0.63823385401734
1.2300000000000001e-10,2.848366497350248e-10,-2.9872912618236158e-9,0.655469179244281
0.0,3.5666719244630887e-10,-2.9795686791602018e-9,0.45351108153271646
0.0,4.972218371934013e-10,-2.9593599721253956e-9,0.9976269975576146
1.2300000000000001e-10,5.683184411749778e-10,-2.94653273347174e-9,0.5151668605621516
1.2300000000000001e-10,7.070732961428826e-10,-2.9163484623552176e-9,0.38358255658129203
0.0,7.770736693976598e-10,-2.898481932379234e-9,0.9416040288387588
0.0,9.133216716509184e-10,-2.858475909307751e-9,0.6948017179013222
1.2300000000000001e-10,9.818691083223119e-10,-2.8356611317508216e-9,0.17594671830687314
1.2300000000000001e-10,1.114915969272278e-9,-2.7860372182477494e-9,0.26190330847733534
0.0,1.1816611673354884e-9,-2.7583904519866895e-9,0.19973566443706825
0.0,1.31082891067583e-9,-2.6994015201404215e-9,0.6231647084570817
1.2300000000000001e-10,1.3754317519008958e-9,-2.6670636467588913e-9,0.8498314557614627
1.2300000000000001e-10,1.500062168419446e-9,-2.599010290644643e-9,0.5047190717123111
0.0,1.562193451535778e-9,-2.562146096532892e-9,0.6669015361403595
0.0,1.6816514531978057e-9,-2.485375100454197e-9,0.6460357005050394
1.2300000000000001e-10,1.7409945714284114e-9,-2.444172437095387e-9,0.39161020612075526
1.2300000000000001e-10,1.8546714276396707e-9,-2.359075008450776e-9,0.997549744206755
0.0,1.910923982056703e-9,-2.3137438351728904e-9,0.11735238691167094
