metadata1,metadata2
X,Y,Z,D
0.0,-3.0000000000000004e-9,7.1e-11,9.0
0.0,-3.0000000000000004e-9,-7.1e-11,73.0
1.2300000000000001e-10,-2.9974214258379065e-9,-1.4319844946036903e-10,37.0
1.2300000000000001e-10,-2.9872912618236158e-9,-2.8483664973502503e-10,42.0
0.0,-2.9795686791602014e-9,-3.566671924463093e-10,71.0
0.0,-2.959359972125395e-9,-4.972218371934017e-10,38.0
1.2300000000000001e-10,-2.94653273347174e-9,-5.683184411749776e-10,25.0
1.2300000000000001e-10,-2.9163484623552176e-9,-7.070732961428824e-10,90.0
0.0,-2.898481932379234e-9,-7.770736693976598e-10,27.0
0.0,-2.858475909307751e-9,-9.133216716509184e-10,65.0
1.2300000000000001e-10,-2.8356611317508216e-9,-9.81869108322312e-10,49.0
1.2300000000000001e-10,-2.7860372182477494e-9,-1.1149159692722783e-9,62.0
0.0,-2.7583904519866895e-9,-1.1816611673354886e-9,78.0
0.0,-2.6994015201404215e-9,-1.3108289106758302e-9,96.0
1.2300000000000001e-10,-2.6670636467588913e-9,-1.3754317519008956e-9,53.0
1.2300000000000001e-10,-2.599010290644643e-9,-1.5000621684194459e-9,91.0
0.0,-2.5621460965328914e-9,-1.5621934515357791e-9,39.0
0.0,-2.4853751004541962e-9,-1.6816514531978068e-9,94.0
1.2300000000000001e-10,-2.444172437095387e-9,-1.7409945714284111e-9,52.0
1.2300000000000001e-10,-2.359075008450776e-9,-1.8546714276396704e-9,89.0
0.0,-2.3137438351728904e-9,-1.9109239820567033e-9,52.0
0.0,-2.22075361095266e-9,-2.0182404216150078e-9,58.0
1.2300000000000001e-10,-2.171524925023888e-9,-2.071115762095398e-9,66.0
1.2300000000000001e-10,-2.0711157620953985e-9,-2.1715249250238876e-9,3.0
0.0,-2.0182404216150078e-9,-2.22075361095266e-9,70.0
0.0,-1.9109239820567033e-9,-2.3137438351728904e-9,69.0
1.2300000000000001e-10,-1.8546714276396707e-9,-2.359075008450776e-9,91.0
1.2300000000000001e-10,-1.7409945714284114e-9,-2.444172437095387e-9,89.0
0.0,-1.681651453197807e-9,-2.4853751004541962e-9,65.0
0.0,-1.5621934515357793e-9,-2.5621460965328914e-9,72.0
1.2300000000000001e-10,-1.5000621684194463e-9,-2.599010290644643e-9,44.0
1.2300000000000001e-10,-1.375431751900896e-9,-2.6670636467588913e-9,29.0
0.0,-1.3108289106758304e-9,-2.6994015201404215e-9,18.0
0.0,-1.1816611673354888e-9,-2.7583904519866895e-9,59.0
1.2300000000000001e-10,-1.1149159692722785e-9,-2.7860372182477494e-9,45.0
1.2300000000000001e-10,-9.818691083223123e-10,-2.8356611317508216e-9,78.0
0.0,-9.133216716509188e-10,-2.858475909307751e-9,43.0
0.0,-7.770736693976602e-10,-2.898481932379234e-9,63.0
1.2300000000000001e-10,-7.070732961428828e-10,-2.9163484623552176e-9,5.0
1.2300000000000001e-10,-5.683184411749783e-10,-2.94653273347174e-9,2.0
0.0,-4.972218371934016e-10,-2.959359972125395e-9,4.0
0.0,-3.566671924463092e-10,-2.9795686791602014e-9,80.0
1.2300000000000001e-10,-2.848366497350251e-10,-2.9872912618236158e-9,66.0
1.2300000000000001e-10,-1.4319844946036909e-10,-2.9974214258379065e-9,23.0
0.0,-7.100000000000085e-11,-3.0000000000000004e-9,12.0
0.0,7.099999999999915e-11,-3.0000000000000004e-9,71.0
1.2300000000000001e-10,1.4319844946036875e-10,-2.9974214258379065e-9,74.0
1.2300000000000001e-10,2.848366497350248e-10,-2.9872912618236158e-9,86.0
0.0,3.5666719244630887e-10,-2.9795686791602018e-9,95.0
0.0,4.972218371934013e-10,-2.9593599721253956e-9,80.0
