ℝ→ℝ,81,1,Transmission,true
E (eV),T (e²/h)
-3.0,7.999999999712004e-11
-2.9,9.070294784188271e-11
-2.8,1.0416666666112833e-10
-2.7,1.2158054710427356e-10
-2.6,1.449275362190229e-10
-2.5,1.7777777775582988e-10
-2.4,2.2727272723046615e-10
-2.3,3.1007751928127506e-10
-2.2,4.761904758638371e-10
-2.1,9.756097535381083e-10
-2.0,1.9999950000024684e-5
-1.9,0.3900000009256066
-1.8,0.7600000004262142
-1.7,1.11000000026036
-1.6,1.4400000001776037
-1.5,1.7500000001285672
-1.4,2.040000000096352
-1.3,2.310000000073157
-1.2,2.5600000000564362
-1.1,2.790000000043385
-1.0,3.0000000000333347
-0.9,3.190000000025324
-0.8,3.360000000019048
-0.7,3.510000000013957
-0.6,3.6400000000098967
-0.5,3.7500000000066676
-0.4,3.8400000000041636
-0.3,3.9100000000022996
-0.2,3.9600000000010045
-0.1,3.99000000000025
0.0,4.0
0.1,3.99000000000025
0.2,3.9600000000010045
0.3,3.9100000000022996
0.4,3.8400000000041636
0.5,3.7500000000066676
0.6,3.6400000000098967
0.7,3.510000000013957
0.8,3.360000000019048
0.9,3.190000000025324
1.0,3.0000000000333347
1.1,2.790000000043385
1.2,2.5600000000564362
1.3,2.310000000073157
1.4,2.040000000096352
1.5,1.7500000001285672
1.6,1.4400000001776037
1.7,1.11000000026036
1.8,0.7600000004262142
1.9,0.3900000009256066
2.0,1.9999950000024684e-5
2.1,9.756097535381083e-10
2.2,4.761904758638371e-10
2.3,3.1007751928127506e-10
2.4,2.2727272723046615e-10
2.5,1.7777777775582988e-10
2.6,1.449275362190229e-10
2.7,1.2158054710427356e-10
2.8,1.0416666666112833e-10
2.9,9.070294784188271e-11
3.0,7.999999999712004e-11
3.1,7.130124776965879e-11
3.2,6.410256410087829e-11
3.3,5.805515239344328e-11
3.4,5.291005290898278e-11
3.5,4.8484848483975865e-11
3.6,4.464285714213646e-11
3.7,4.127966976204004e-11
3.8,3.831417624470313e-11
3.9,3.5682426404563676e-11
4.0,3.333333333296296e-11
4.1,3.122560499577694e-11
4.2,2.9325513196202884e-11
4.3,2.7605244996306235e-11
4.4,2.604166666645298e-11
4.5,2.4615384615195866e-11
4.6,2.331002330985582e-11
4.7,2.2111663902559406e-11
4.8,2.1008403361211022e-11
4.9,1.9990004997381385e-11
5.0,1.9047619047511064e-11
